2019-09-03 17:09:31,846 -  case - INFO - 测试开始啦 - [logger.py:31 ]
2019-09-03 17:09:31,847 -  case - ERROR - 测试报错 - [logger.py:32 ]
2019-09-03 17:09:31,847 -  case - DEBUG - 测试数据 - [logger.py:33 ]
2019-09-03 17:09:31,847 -  case - INFO - 测试结束 - [logger.py:34 ]
2019-09-03 17:09:46,979 -  __main__ - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:09:46,979 -  __main__ - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/apihttp://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:09:46,980 -  __main__ - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-03 17:09:47,151 -  __main__ - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:09:47,153 -  __main__ - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/apihttp://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-03 17:09:47,154 -  __main__ - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '1000'} - [http_request.py:58 ]
2019-09-03 17:10:30,952 -  test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-03 17:10:30,953 -  test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-03 17:10:30,954 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:10:30,955 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:10:30,955 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-03 17:10:31,176 -  test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-03 17:10:31,177 -  test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-03 17:10:31,178 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:10:31,178 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:10:31,179 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '098786'} - [http_request.py:58 ]
2019-09-03 17:10:31,369 -  test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-03 17:10:31,370 -  test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-03 17:10:31,372 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:10:31,372 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:10:31,372 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': ''} - [http_request.py:58 ]
2019-09-03 17:10:31,479 -  test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-03 17:10:31,480 -  test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-03 17:10:31,481 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:10:31,481 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:10:31,481 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-03 17:10:31,686 -  test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-03 17:10:31,687 -  test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-03 17:33:03,380 -  test_add - DEBUG - 准备测试前置 - [test_add.py:22 ]
2019-09-03 17:33:03,935 -  test_add - DEBUG - 开始测试:正常登录 - [test_add.py:28 ]
2019-09-03 17:33:03,947 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:03,948 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:03,949 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:04,509 -  test_add - DEBUG - 结束测试:正常登录 - [test_add.py:43 ]
2019-09-03 17:33:04,511 -  test_add - DEBUG - 开始测试:加标 - [test_add.py:28 ]
2019-09-03 17:33:04,514 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:04,514 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-03 17:33:04,514 -  common.http_request - DEBUG - 请求data:{'amount': 20000, 'memberId': '1197', 'repaymemtWay': 11, 'title': '试试人品行不行，借个2W玩玩', 'loanRate': '12.0', 'loanTerm': 3, 'loanDateType': 0, 'biddingDays': 5} - [http_request.py:58 ]
2019-09-03 17:33:04,700 -  test_add - DEBUG - 结束测试:加标 - [test_add.py:43 ]
2019-09-03 17:33:04,700 -  test_add - DEBUG - 测试后置处理 - [test_add.py:47 ]
2019-09-03 17:33:04,701 -  test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-03 17:33:04,892 -  test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-03 17:33:04,902 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:04,902 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:04,903 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15814447890'} - [http_request.py:58 ]
2019-09-03 17:33:06,319 -  test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-03 17:33:06,319 -  test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-03 17:33:06,453 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:06,454 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-03 17:33:06,455 -  common.http_request - DEBUG - 请求data:{'amount': 20000, 'memberId': '1197', 'repaymemtWay': 11, 'title': '世界这么大，想去看一看', 'loanRate': '12.0', 'loanTerm': 3, 'loanDateType': 0, 'biddingDays': 5} - [http_request.py:58 ]
2019-09-03 17:33:07,535 -  test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-03 17:33:07,536 -  test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-03 17:33:07,543 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:07,543 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/audit - [http_request.py:57 ]
2019-09-03 17:33:07,544 -  common.http_request - DEBUG - 请求data:{'status': 4, 'id': '69278'} - [http_request.py:58 ]
2019-09-03 17:33:07,828 -  test_invest - DEBUG - 结束测试:管理员审核 - [test_invest.py:64 ]
2019-09-03 17:33:07,829 -  test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-03 17:33:07,835 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:07,836 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:07,836 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:08,067 -  test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-03 17:33:08,068 -  test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-03 17:33:08,071 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:08,071 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-03 17:33:08,071 -  common.http_request - DEBUG - 请求data:{'amount': '100', 'memberId': '88538', 'password': '123456', 'loanId': '69278'} - [http_request.py:58 ]
2019-09-03 17:33:09,290 -  test_invest - DEBUG - 结束测试:投资人正常投资 - [test_invest.py:64 ]
2019-09-03 17:33:09,291 -  test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-03 17:33:09,293 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:09,293 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-03 17:33:09,293 -  common.http_request - DEBUG - 请求data:{'amount': '', 'memberId': '88538', 'password': '123456', 'loanId': '69278'} - [http_request.py:58 ]
2019-09-03 17:33:09,447 -  test_invest - DEBUG - 结束测试:投资人投资不输入金额 - [test_invest.py:64 ]
2019-09-03 17:33:09,448 -  test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-03 17:33:09,451 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:09,451 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-03 17:33:09,451 -  common.http_request - DEBUG - 请求data:{'amount': '-100', 'memberId': '88538', 'password': '123456', 'loanId': '69278'} - [http_request.py:58 ]
2019-09-03 17:33:09,598 -  test_invest - DEBUG - 结束测试:投资人投资输入负数 - [test_invest.py:64 ]
2019-09-03 17:33:09,598 -  test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-03 17:33:09,598 -  test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-03 17:33:09,598 -  test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-03 17:33:09,599 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:09,599 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:09,599 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:09,960 -  test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-03 17:33:09,961 -  test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-03 17:33:09,963 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:09,963 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:09,964 -  common.http_request - DEBUG - 请求data:{'pwd': '098786', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:10,299 -  test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-03 17:33:10,299 -  test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-03 17:33:10,301 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-03 17:33:10,301 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:10,302 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:10,498 -  test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-03 17:33:10,498 -  test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-03 17:33:10,500 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:10,501 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:10,501 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-03 17:33:10,721 -  test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-03 17:33:10,722 -  test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-03 17:33:10,722 -  test_recharge - DEBUG - 准备测试前置 - [test_recharge.py:22 ]
2019-09-03 17:33:10,723 -  test_recharge - DEBUG - 开始测试:正常登陆 - [test_recharge.py:27 ]
2019-09-03 17:33:10,724 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
